Title,Year,Duration,Genre,Rating,Votes,Director,Actor1,Actor2,Actor3,genre_list,genre_Action,genre_Adventure,genre_Animation,genre_Biography,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Musical,genre_Mystery,genre_News,genre_Romance,genre_Sci-Fi,genre_Sport,genre_Thriller,genre_Unknown,genre_War,genre_Western,Director_enc,Actor1_enc,Actor2_enc,Actor3_enc
Dilbar,(1994),0.0,"Drama, Romance",3.8,21,B. Krishna Rao,Mamta Kulkarni,Rishikesh Raj,Nawaz Khan,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,432,1188,2031,1642
Dildaar,(1977),0.0,"Action, Comedy, Drama",4.5,18,K. Bapaiah,Jeetendra,Rekha,Sujit Kumar,"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1146,919,2003,2686
Dil-E-Nadaan,(1982),,"Drama, Romance",6.3,37,C.V. Sridhar,Rajesh Khanna,Jaya Prada,Shatrughan Sinha,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,561,1702,934,2480
Dil-E-Nadan,(1953),0.0,Romance,6.7,10,Abdul Rashid Kardar,Talat Mahmood,Shyama,Shyam Kumar,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,41,2321,2411,2564
Diler,(1979),,Action,6.4,9,K.S.R. Das,Rajinikanth,Kavita,Vishnuvardhan,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1188,1711,1077,3000
Diljalaa,(1987),0.0,"Action, Drama",5.1,23,Bapu,Jackie Shroff,Farha Naaz,Tanuja,"['Action', 'Drama']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,472,870,688,2782
Diljale,(1996),0.0,"Action, Drama, Romance",5.8,0,Harry Baweja,Ajay Devgn,Sonali Bendre,Amrish Puri,"['Action', 'Drama', 'Romance']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,920,108,2462,207
Dil-Ki-Rani (Sweet-Heart),(1947),0.0,"Comedy, Romance",7.4,64,Mohan Sinha,Raj Kapoor,Madhubala,Shyam Sunder,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1571,1670,1230,2565
Dillagi,(1978),,"Comedy, Romance",6.9,206,Basu Chatterjee,Dharmendra,Hema Malini,Mithu Mukherjee,"['Comedy', 'Romance']",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,475,631,818,1493
Dillagi,(1999),0.0,"Drama, Musical, Romance",5.3,0,Sunny Deol,Sunny Deol,Bobby Deol,Urmila Matondkar,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2814,2270,479,2861
Dillagi,(1966),0.0,"Comedy, Drama, Romance",6.3,18,S.N. Banerjee,Mala Sinha,Sanjay Khan,Nazima,"['Comedy', 'Drama', 'Romance']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2335,1181,2197,1647
Dilli Ka Thug,(1958),,"Action, Comedy, Crime",6.8,56,S.D. Narang,Kishore Kumar,Nutan,Amar,"['Action', 'Comedy', 'Crime']",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2323,1067,1628,171
Dilliwaali Zaalim Girlfriend,(2015),0.0,"Comedy, Drama",3.7,176,Japinder Kaur Baweja,Ira Dubey,Natalia Kapchuk,Vijay Meenu,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1057,852,1515,2932
Dilruba,(1950),0.0,"Crime, Drama, Mystery",7.1,30,Dwarka Khosla,Rehana,Dev Anand,Cuckoo,"['Crime', 'Drama', 'Mystery']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,749,1815,596,619
Dilwaala,(1986),0.0,"Action, Comedy, Drama",3.7,0,K. Muralimohana Rao,Mithun Chakraborty,Smita Patil,Meenakshi Sheshadri,"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1152,1304,2436,1452
Dilwale,(1994),0.0,"Action, Drama, Romance",5.7,0,Harry Baweja,Ajay Devgn,Sunil Shetty,Raveena Tandon,"['Action', 'Drama', 'Romance']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,920,108,2552,2107
Dilwale,(2015),0.0,"Action, Comedy, Drama",5.1,0,Rohit Shetty,Shah Rukh Khan,Kajol,Varun Dhawan,"['Action', 'Comedy', 'Drama']",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2281,2038,1011,2897
Dilwale Dulhania Le Jayenge,(1995),0.0,"Drama, Romance",8.1,0,Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,84,2038,1011,207
Dilwale Dulhaniya Le Jayenge,(1980),0.0,Romance,7.2,58,Rajendra Singh 'Atish',Beena Banerjee,Desh Gautam,Tariq Shah,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2066,448,595,2800
Dilwale Kabhi Na Hare,(1992),,Romance,3.5,13,V. Menon,Rahul Roy,Prithvi,Nagma,['Romance'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2949,1659,1766,1592
Direct Ishq,(2016),0.0,"Action, Comedy, Romance",4.0,66,Rajiv S. Ruia,Rajniesh Duggall,Nidhi Subbaiah,Arjun Bijlani,"['Action', 'Comedy', 'Romance']",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2103,1721,1584,349
Dirty Politics,(2015),0.0,Drama,2.5,575,K.C. Bokadia,Anupam Kher,Atul Kulkarni,Awdhesh Mishra,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1171,296,378,445
Disco Dancer,(1982),0.0,"Drama, Musical, Romance",6.4,0,Babbar Subhash,Mithun Chakraborty,Kim,Kalpana Iyer,"['Drama', 'Musical', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,453,1304,1094,1122
Disha,(1990),0.0,"Comedy, Drama, Musical",7.0,145,Sai Paranjape,Shabana Azmi,Nana Patekar,Raghuvir Yadav,"['Comedy', 'Drama', 'Musical']",0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2384,2030,1490,1951
Dishkiyaoon,(2014),0.0,"Action, Thriller",5.2,986,Sanamjit Singh Talwar,Harman Baweja,Harsh Chhaya,Sunny Deol,"['Action', 'Thriller']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2427,799,802,2720
Dishoom,(2016),0.0,"Action, Adventure, Comedy",5.1,0,Rohit Dhawan,John Abraham,Varun Dhawan,Jacqueline Fernandez,"['Action', 'Adventure', 'Comedy']",1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2273,937,2719,990
Divine Temple Khajuraho,(2002),,History,4.2,8,Ashok Kumar,Mamta Kulkarni,Sadhika,Mink Singh,['History'],0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,380,1188,2114,1485
Divorce,(1984),0.0,"Romance, Drama",5.7,7,N.D. Kothari,Sharmila Tagore,Girish Karnad,Vijayendra Ghatge,"['Romance', 'Drama']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1630,2077,755,2943
Divorce: Not Between Husband and Wife,(2005),0.0,Unknown,5.3,10,M J Ramanan,Mandira Bedi,Tannishtha Chatterjee,Snehal Dabi,['Unknown'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1389,1197,2621,2605
Divya Shakti,(1993),0.0,"Action, Drama",3.8,199,Sameer Malkan,Ajay Devgn,Raveena Tandon,Satyendra Kapoor,"['Action', 'Drama']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2411,108,1980,2386
Diwan,(2003),,Action,3.1,13,Jasper,Sarath Kumar,Kiran Rathod,Sharmilee,['Action'],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1062,1992,1100,2465
Diwana,(1967),0.0,"Drama, Romance",6.9,117,Mahesh Kaul,Raj Kapoor,Saira Banu,Lalita Pawar,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1425,1670,2129,1286
Diya Aur Toofan,(1995),,"Action, Drama, Thriller",4.2,54,K. Bapaiah,Mithun Chakraborty,Madhoo,Maya Alagh,"['Action', 'Drama', 'Thriller']",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1146,1304,1223,1440
Do Anjaane,(1976),0.0,Drama,6.9,421,Dulal Guha,Amitabh Bachchan,Rekha,Prem Chopra,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744,206,2003,1872
Do Ankhen Barah Haath,(1957),0.0,"Comedy, Crime, Drama",8.4,0,Shantaram Rajaram Vankudre,Shantaram Rajaram Vankudre,Sandhya,Ulhas,"['Comedy', 'Crime', 'Drama']",0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2579,2064,2182,2847
Do Ankhen Barah Hath,(1997),,Drama,4.2,62,Kirti Kumar,Arman Khan Achakzai,Ishrat Ali,Sadashiv Amrapurkar,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1298,334,892,2247
